YEAR,protected_status,richness,simpson,shannon
1999,0,183,18.159540959448016,33.19128609732125
1999,1,158,16.891739508863555,29.75622010913755
2000,0,192,19.316401882485664,34.531409607344315
2000,1,164,22.327311934926488,35.86463802975617
2001,0,202,16.228886677200222,29.485110417734298
2001,1,191,9.318711474943731,18.969234005792252
2002,0,217,20.12246801847119,38.92140407731079
2002,1,184,10.216067890488558,24.973654251678393
2003,0,204,14.960046064397764,25.742875030644022
2003,1,191,24.326645919747914,38.2748326501686
2004,0,191,8.397369324389231,18.809563355199057
2004,1,163,21.225018808789883,35.30942499294835
2005,0,205,19.62790376982778,34.77108185857085
2005,1,174,21.196599059705164,35.867185523612655
2006,0,221,16.037811057962244,32.09580590183294
2006,1,195,18.934297065975617,32.805225691164814
2007,0,228,17.749220382172723,34.31203443603608
2007,1,195,19.77219282841205,36.067236974714135
2008,0,224,16.891733052531137,33.91920433096606
2008,1,179,17.002799372854547,32.40474459516704
2009,0,255,17.691488558797985,32.14572958836447
2009,1,204,19.935106893529444,34.73433590030543
2010,0,235,15.299456442143804,30.026193524211298
2010,1,181,19.11457749281108,32.59841060086721
2012,0,237,16.00283691979994,33.156213637476434
2012,1,205,15.800645324578394,29.770589478787798
2014,0,234,18.785108005323178,34.03810618499211
2014,1,204,21.360780097858523,34.72550226077818
2016,0,236,17.496345283178975,31.538527922107015
2016,1,206,13.434656154623658,27.399095244447405
